正题名,创建日期,导演,演员,出品年代,内容描述,总集数,分类名称,连续剧分类,字母语种,声轨,声道语种,地区参数,画面高宽比,编码格式,编码码率,彩色.黑白,来源,批次,标清.高清,内容编号,素材分类,标识,素材分类.1,编目层ID,入点,时长,编目层,首播日期,素材大小,海报
外来媳妇本地郎：神秘的手机,2017/7/25 13:56,无,无,2017,外来媳妇本地郎：神秘的手机,1,电视剧场\大陆剧场,外来媳妇本地郎,中文,MP2,粤语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,50870,无,40052,1,39850,00:00.0,22:57.0,节目层,无,915.92,45053
小羊肖恩(99),2017/7/25 12:23,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,51150,无,40032,1,39942,00:00.0,06:59.2,节目层,无,385.05,29367
小羊肖恩(94),2017/7/25 12:18,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,13745,无,40028,1,39938,00:00.0,06:59.2,节目层,无,385.05,29219
小羊肖恩(79),2017/7/25 12:04,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,19122,无,40014,1,39922,00:00.0,07:05.0,节目层,无,390.03,29236
小羊肖恩(78),2017/7/25 12:03,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,34482,无,40013,1,39923,00:00.0,07:05.0,节目层,无,390.03,29298
小羊肖恩(75),2017/7/25 12:01,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,12163,无,40011,1,39921,00:00.0,07:05.1,节目层,无,390.04,29209
小羊肖恩(74),2017/7/25 12:00,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,13677,无,40010,1,39920,00:00.0,07:05.0,节目层,无,390.03,29218
小羊肖恩(72),2017/7/25 11:58,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,35445,无,40008,1,39914,00:00.0,07:05.2,节目层,无,390.42,29300
小羊肖恩(71),2017/7/25 11:57,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,33799,无,40007,1,39912,00:00.0,07:05.0,节目层,无,390.03,29294
小羊肖恩(68),2017/7/25 11:53,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,45178,无,40004,1,39916,00:00.0,07:05.0,节目层,无,390.03,29338
小羊肖恩(66),2017/7/25 11:51,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,18490,无,40002,1,39915,00:00.0,07:05.0,节目层,无,390.03,29234
小羊肖恩(64),2017/7/25 11:49,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,42885,无,40000,1,39910,00:00.0,07:05.0,节目层,无,390.03,29331
小羊肖恩(59),2017/7/25 11:44,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,47089,无,39995,1,39906,00:00.0,07:05.0,节目层,无,390.03,29349
小羊肖恩(55),2017/7/25 11:40,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,45582,无,39991,1,39901,00:00.0,07:05.0,节目层,无,390.03,29342
小羊肖恩(48),2017/7/25 11:33,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,42760,无,39984,1,39886,00:00.0,07:05.0,节目层,无,390.03,29328
小羊肖恩(40),2017/7/25 11:25,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,24748,无,39976,1,39880,00:00.0,07:05.0,节目层,无,390.03,29264
小羊肖恩(39),2017/7/25 11:24,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,26321,无,39975,1,39875,00:00.0,07:05.0,节目层,无,390.03,29270
小羊肖恩(38),2017/7/25 11:23,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,42880,无,39974,1,39877,00:00.0,07:05.0,节目层,无,390.03,29330
小羊肖恩(34),2017/7/25 11:19,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,33434,无,39970,1,39873,00:00.0,07:05.0,节目层,无,390.03,29292
小羊肖恩(29),2017/7/25 11:15,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,22977,无,39966,1,39868,00:00.0,07:05.0,节目层,无,390.03,29260
小羊肖恩(23),2017/7/25 11:11,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,37183,无,39962,1,39865,00:00.0,07:05.0,节目层,无,390.03,29304
小羊肖恩(17),2017/7/25 11:03,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,41045,无,39957,1,39860,00:00.0,07:05.0,节目层,无,390.03,29322
小羊肖恩(15),2017/7/25 11:01,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,48122,无,39955,1,39854,00:00.0,07:05.0,节目层,无,390.03,29356
小羊肖恩(05),2017/7/25 10:50,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,45228,无,39945,1,39847,00:00.0,07:05.0,节目层,无,390.03,29339
小羊肖恩(04),2017/7/25 10:49,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,22874,无,39944,1,39844,00:00.0,07:02.1,节目层,无,403.26,29259
小羊肖恩(03),2017/7/25 10:48,Christopher·Sadler,无,2007,讲述一只小绵羊和伙伴们在牧场的生活故事。它们不是那种兢兢业业吃草长毛的乖乖羊，而是调皮捣蛋又活泼好动的棉花糖。有时运动运动，或者和一墙之隔的三只小猪较劲，它们兴趣广泛，拿卷心菜当足球踢，自发水彩画课程，集体泡澡……羊儿们常有些异想天开的主意，搞笑可爱的故事就这样发生了一个又一个。,120,电视剧场\欧美剧场,小羊肖恩,中文,MP2,国语,英国,16:09,H264,7.5M,彩色,10013,无,高清,12560,无,39943,1,39845,00:00.0,07:05.0,节目层,无,390.03,29211
07月24日 一站到底：北大哈粉“宠幸”斯坦福,2017/7/25 10:42,无,无,2017,07月24日 一站到底：北大哈粉“宠幸”斯坦福,1,综艺娱乐,一站到底(热),中文,MP2,国语,大陆,16:09,H264,5M,彩色,10022,无,高清,33864,无,39940,1,39839,00:00.0,13:39.1,节目层,无,4214.92,45078
07月24日 人文地理：风花雪乐(01),2017/7/25 10:07,无,无,2017,07月24日 人文地理：风花雪乐(01),1,科学教育,人文地理,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10042,无,高清,46906,无,39932,1,39831,00:00.0,27:24.2,节目层,无,1568.82,45086
07月25日 巴啦啦小魔仙之飞越彩灵堡(中央少儿),2017/7/25 9:50,无,无,2017,07月25日 巴啦啦小魔仙之飞越彩灵堡,1,电视剧场\大陆剧场,巴啦啦小魔仙之飞越彩灵堡,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10042,少儿,高清,45302,无,39921,1,39812,00:00.0,21:59.1,节目层,无,1258.64,45092
将改革进行到底(08),2017/7/25 9:36,无,无,2017,将改革进行到底(08),1,科学教育,将改革进行到底,中文,MP2,国语,大陆,16:09,H264,6M,彩色,10042,无,高清,49102,无,39903,1,39805,00:00.0,49:57.1,节目层,无,2858.8,45029
07月24日 广视新闻,2017/7/25 8:58,无,无,2017,07月24日 广视新闻,1,新闻时事,无,中文,MP2,粤语,大陆,4:03,MPEG2,6M,彩色,10005,无,标清,31366,无,39873,1,39769,00:00.0,58:22.1,节目层,无,2329.07,45095
72家房客：戏说歇后语,2017/7/25 8:55,无,无,2017,72家房客：戏说歇后语,1,电视剧场\大陆剧场,72家房客,中文,MP2,粤语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,50463,无,39870,1,39772,00:00.0,21:27.1,节目层,无,856.25,45069
晓说2017(09),2017/7/24 16:37,无,高晓松,2017,新版《晓说》位“文学解读综艺脱口秀”，将从名著中挖掘新的角度，从那些大家耳熟能详的故事中借古论今、关照人生。高晓松透露，前三期除了讲美国那些事儿，还要详解《金瓶梅》。这也是他首次全方位、交互式地聊中国传统文学各类奇书。,54,综艺娱乐,晓说2017,中文,MP2,国语,大陆,16:09,H264,6M,彩色,10013,无,高清,47558,无,39865,1,39762,00:00.0,34:42.2,节目层,无,1986.76,44997
赛罗奥特曼英雄传(22),2017/7/24 16:31,无,宫野真守,2017,该作讲述的是赛罗奥特曼与各强敌对战的故事。,25,电视剧场\日韩剧场,赛罗奥特曼英雄传,中文,MP2,日语,日本,16:09,H264,6M,彩色,10013,无,高清,29275,无,39862,1,39765,00:00.0,24:57.1,节目层,无,1428.4,44951
170724方大同演唱会宣传片,2017/7/24 16:03,无,无,2017,170724方大同演唱会宣传片,1,广告,精彩抢先看,中文,MP2,国语,大陆,16:09,H264,6M,彩色,10059,无,高清,39705,无,39860,1,39761,00:00.0,15:35.2,节目层,无,892.88,45011
曹格演唱会完整版,2017/7/24 15:21,无,曹格,2017,曹格演唱会完整版,12,综艺娱乐,无,中文,MP2,国语,大陆,16:09,H264,7M,彩色,10013,无,高清,48785,无,39859,1,40853,00:00.0,43:36.2,节目层,无,5928.9,47478
灌篮高手(73),2017/7/24 14:21,井上雄彦,无,1994,一年级新生樱木花道因为对篮球队队长妹妹赤木晴子的迷恋而加入了湘北篮球队。但不知不觉中他爱上了篮球，并和队友一起梦想称霸全国的比赛。,101,电视剧场\日韩剧场,灌篮高手,中文,MP2,国语,日本,4:03,MPEG2,5M,彩色,10036,无,标清,11841,无,39858,1,39754,00:00.0,22:08.0,节目层,无,883.28,44984
踩过界(10),2017/7/24 14:11,罗俊伟,王浩信，蔡思贝，李佳芯，张振朗,2016,申侠故意在庭上强调蔚诗的供词将会决定星仔的抚养权谁属，蔚诗说出出人意表的真相……,28,电视剧场\港台剧场,踩过界,中文,MP2,粤语,香港,4:03,MPEG2,5M,彩色,10039,无,标清,16409,无,39855,1,39760,00:00.0,41:38.1,节目层,无,1661.61,44956
我的前半生(36),2017/7/24 10:28,沈严,靳东，马伊琍，袁泉，雷佳音，吴越,2016,该剧讲述了生活优越安逸的全职太太罗子君与丈夫陈俊生离婚后一切归零，在闺蜜唐晶及其男友贺涵的帮助下打破困境，进入职场，在自我成长中走向人生下一程的故事。,36,电视剧场\大陆剧场,我的前半生,中文,MP2,国语,大陆,4:03,MPEG2,3M,彩色,10022,无,标清,36569,无,39845,1,39697,00:00.0,38:06.1,节目层,无,1520.64,44948
我们的少年时代(25),2017/7/24 10:24,成志超,TFBOYS，薛之谦，李小璐，唐禹哲，李菲儿,2016,该剧主要讲述了TFBOYS饰演的三位主人公在与棒球运动的对垒中，不断向着理想努力的励志故事。,40,电视剧场\大陆剧场,(热)我们的少年时代,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10022,无,高清,19616,无,39843,1,39694,00:00.0,53:17.1,节目层,无,3049.52,44977
07月23日 非你莫属：硕士生狂飙段子技能,2017/7/24 10:06,无,无,2017,07月23日 非你莫属：硕士生狂飙段子技能,1,综艺娱乐,非你莫属(热),中文,MP2,国语,大陆,16:09,H264,5M,彩色,10022,无,高清,11614,无,39835,1,39741,00:00.0,29:53.0,节目层,无,5143.49,45004
复合大师(41),2017/7/24 10:03,陈畅，于中中,贾乃亮，王晓晨，代乐乐，梁超，张超，吴亚衡，屈菁菁,2017,复合大师李断致力于帮助情感破裂的夫妻或者情侣重新复合。分手大师梅远贵是他事业的灵感启发者也是竞争对手。种种缘由，复合大师誓将消灭分手大师，并带领团队创立复合事务所。富二代二次元少女周末为李断所倾倒，就职复合事务所，同父异母的姐姐周一阴差阳错继承分手大师的衣钵，接手分手事务所。在种种感情事件中，两个事务所明争暗斗，爱恨情仇，分分合合，好戏上演。,47,电视剧场\大陆剧场,复合大师,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,41344,无,39829,1,39737,00:00.0,43:03.1,节目层,无,1717.97,44996
我的前半生(36),2017/7/24 9:53,沈严,靳东，马伊琍，袁泉，雷佳音，吴越,2016,该剧讲述了生活优越安逸的全职太太罗子君与丈夫陈俊生离婚后一切归零，在闺蜜唐晶及其男友贺涵的帮助下打破困境，进入职场，在自我成长中走向人生下一程的故事。,36,电视剧场\大陆剧场,(热)我的前半生,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10013,收录,高清,13261,无,39827,1,39701,00:00.0,38:08.0,节目层,无,2182.4,44970
将改革进行到底(07),2017/7/24 9:51,无,无,2017,将改革进行到底(07),1,科学教育,将改革进行到底,中文,MP2,国语,大陆,16:09,H264,6M,彩色,10042,无,高清,20149,无,39825,1,39708,00:00.0,47:32.1,节目层,无,2720.44,44959
07月23日 特别呈现：世界上的另一个我(07),2017/7/24 9:44,无,无,2017,07月23日 特别呈现：世界上的另一个我(07),1,科学教育,特别呈现,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10042,无,高清,32244,无,39817,1,39711,00:00.0,22:57.1,节目层,无,1313.98,44985
少林问道(15),2017/7/24 9:25,傅东育,周一围，郭京飞，郭晓婷,2015,明朝嘉靖年间，嘉靖帝昏庸无能，朝廷被严党把持，内部朝政腐败，沿海倭寇横行，整个朝野被牢牢掌控在严党党魁——奸相严嵩之子严世蕃的手中，明朝危在旦夕……,42,电视剧场\大陆剧场,少林问道,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10033,无,高清,39718,无,39805,1,39725,00:00.0,45:15.2,节目层,无,2590.34,44952
林海雪原(15),2017/7/24 9:24,金姝慧,李光洁，张睿，倪大红，金星，孙大川，黄觉，刘婧,2015,该剧主要讲述了1946年冬天，国民党在东北地区成立了“中央先谴军”。这对当地百姓的工作、生活都造成了极大的威胁。我军和当地人民经过激烈交锋，歼灭全部匪徒，取得了剿匪的全面胜利的故事。,66,电视剧场\大陆剧场,林海雪原,中文,MP2,国语,大陆,4:03,MPEG2,3M,彩色,10022,无,标清,41495,无,39804,1,39726,00:00.0,41:24.2,节目层,无,1652.5,44991
林海雪原(16),2017/7/24 9:22,金姝慧,李光洁，张睿，倪大红，金星，孙大川，黄觉，刘婧,2015,该剧主要讲述了1946年冬天，国民党在东北地区成立了“中央先谴军”。这对当地百姓的工作、生活都造成了极大的威胁。我军和当地人民经过激烈交锋，歼灭全部匪徒，取得了剿匪的全面胜利的故事。,66,电视剧场\大陆剧场,林海雪原,中文,MP2,国语,大陆,4:03,MPEG2,3M,彩色,10022,无,标清,40321,无,39802,1,39734,00:00.0,45:33.1,节目层,无,1817.72,44987
都市笑口组：领导大片,2017/7/24 9:02,无,无,2017,都市笑口组：领导大片,1,电视剧场\大陆剧场,都市笑口组,中文,MP2,粤语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,27285,无,39795,1,39728,00:00.0,09:50.1,节目层,无,392.65,44971
7月22日中餐厅：赵薇晓明“相爱相杀”,2017/7/23 11:25,无,无,2017,7月22日中餐厅：赵薇晓明“相爱相杀”,1,综艺娱乐,中餐厅,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10022,无,标清,19110,无,39785,1,39684,00:00.0,20:59.1,节目层,无,3231.55,44884
我们的少年时代(24),2017/7/23 11:17,成志超,TFBOYS，薛之谦，李小璐，唐禹哲，李菲儿,2016,该剧主要讲述了TFBOYS饰演的三位主人公在与棒球运动的对垒中，不断向着理想努力的励志故事。,40,电视剧场\大陆剧场,我们的少年时代,中文,MP2,国语,大陆,4:03,MPEG2,3M,彩色,10022,无,标清,51202,无,39784,1,39680,00:00.0,29:17.2,节目层,无,1169.02,44890
7月22日探索·发现：郭新庄唐墓发掘记(四),2017/7/23 10:38,无,无,2017,7月22日探索·发现：郭新庄唐墓发掘记(四),1,科学教育,探索·发现,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10042,无,标清,42689,无,39781,1,39669,00:00.0,36:20.2,节目层,无,1450.35,44941
07月23日 汪汪队立大功(中央少儿),2017/7/23 10:27,无,无,2017,07月23日 汪汪队立大功,1,电视剧场\大陆剧场,汪汪队立大功,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10042,少儿,高清,48741,无,39778,1,39672,00:00.0,18:27.1,节目层,无,4489.53,44942
07月22日 时代：行走的餐桌·湘菜与辣椒,2017/7/23 10:08,无,无,2017,07月22日 时代：行走的餐桌·湘菜与辣椒,1,科学教育,时代,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10042,无,高清,29867,无,39766,1,39647,00:00.0,25:36.0,节目层,无,1465.2,44895
07月22日 万象：鸟瞰地球(04),2017/7/23 10:06,无,无,2017,07月22日 万象：鸟瞰地球(04),1,科学教育,万象,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10042,无,高清,25756,无,39765,1,39648,00:00.0,53:34.2,节目层,无,3066,44906
07月22日 特别呈现：世界上的另一个我(05),2017/7/23 10:03,无,无,2017,07月22日 特别呈现：世界上的另一个我(05),1,科学教育,特别呈现,中文,MP2,国语,大陆,16:09,H264,5M,彩色,10042,无,高清,40433,无,39761,1,39660,00:00.0,23:02.2,节目层,无,1319.11,44888
07月22日 超级飞侠二(嘉佳卡通),2017/7/23 9:41,无,无,2017,07月22日 超级飞侠二(嘉佳卡通),1,电视剧场,超级飞侠二,中文,MP2,国语,大陆,4:03,MPEG2,5M,彩色,10022,少儿,标清,43169,无,39747,1,39643,00:00.0,20:22.0,节目层,无,3206.66,44936
07月22日 2017出彩中国人：蔡国庆喜得千金升级当爸,2017/7/23 9:30,无,无,2017,07月22日 2017出彩中国人：蔡国庆喜得千金升级当爸,1,综艺娱乐,2017出彩中国人(热),中文,MP2,国语,大陆,16:09,H264,5M,彩色,10042,无,高清,16771,无,39741,1,39635,00:00.0,47:25.2,节目层,无,6147.62,44908
